"","Point est.","Upper C.I."
"isolate.id.OXEC-355",1.00017351129105,1.0009485667046
"isolate.id.OXEC-358",0.999984703194086,0.999988022878625
"isolate.id.OXEC-363",0.999983921212952,0.999990438720377
"isolate.id.OXEC-365",0.999998214926754,1.0000076910283
"isolate.id.OXEC-366",0.999999886944368,1.00005225374253
"isolate.id.OXEC-37",0.999986371663744,0.999987489628471
"isolate.id.OXEC-370",0.99998714572855,1.00000824028203
"isolate.id.OXEC-371",1.00006740624211,1.00009791037906
"isolate.id.OXEC-375",1.00002711219439,1.00020495448641
"isolate.id.OXEC-38",1.00003216745293,1.00003411493399
"isolate.id.OXEC-380",1.00007093594157,1.0003214172683
"isolate.id.OXEC-382",0.999986206651855,0.999997082894578
"isolate.id.OXEC-386",0.999995623252314,1.00003688258221
"isolate.id.OXEC-387",0.999983930862198,0.999983986587696
"isolate.id.OXEC-388",0.999983711283554,0.999983721199872
"isolate.id.OXEC-39",1.00007269498453,1.00040521322105
"isolate.id.OXEC-393",1.00000983290448,1.00012967099522
"isolate.id.OXEC-394",1.00007560959549,1.00045702799661
"isolate.id.OXEC-396",0.999994517349367,1.00001343584775
"isolate.id.OXEC-398",1.000015026315,1.00013644580921
"isolate.id.OXEC-399",0.9999841188267,1.0000004838434
"isolate.id.OXEC-40",1.00001694087919,1.00015935839964
"isolate.id.OXEC-400",0.999996019564679,1.00000088825902
"isolate.id.OXEC-401",1.00004958255293,1.00015931421884
"isolate.id.OXEC-403",1.00011387112805,1.00065139012026
"isolate.id.OXEC-404",0.999988019204305,0.999988024548719
"isolate.id.OXEC-406",1.00005495325215,1.00015449229934
"isolate.id.OXEC-408",0.999993093071301,1.00002938453707
"isolate.id.OXEC-41",1.00005311487984,1.00009803921292
"isolate.id.OXEC-410",1.00010619986115,1.00036785184427
"isolate.id.OXEC-411",1.0000013236881,1.00000461720269
"isolate.id.OXEC-412",1.00001021411278,1.00009510763888
"isolate.id.OXEC-413",0.999981350903883,0.999982464890851
"isolate.id.OXEC-414",1.00008190207653,1.00045160705551
"isolate.id.OXEC-415",0.999990294228384,1.00001933671944
"isolate.id.OXEC-416",0.999995750799732,1.00004225469432
"isolate.id.OXEC-42",1.00003065472016,1.00011492312927
"isolate.id.OXEC-420",1.00003773093118,1.00022407426318
"isolate.id.OXEC-421",0.999982948592011,0.999983567942036
"isolate.id.OXEC-422",0.999984382625697,0.999985700372327
"isolate.id.OXEC-423",1.00001253101267,1.00010104317887
"isolate.id.OXEC-424",1.00002778656408,1.00017966199813
"isolate.id.OXEC-425",1.00006787409256,1.0003687687726
"isolate.id.OXEC-426",1.00007940786399,1.00012865878933
"isolate.id.OXEC-427",1.00000457325436,1.00004160085166
"isolate.id.OXEC-429",1.00000792572181,1.00010030516195
"isolate.id.OXEC-430",1.00004900900765,1.00023084860664
"isolate.id.OXEC-434",1.00005194556227,1.00033887208316
"isolate.id.OXEC-435",0.999996044643823,1.00000868720964
"isolate.id.OXEC-436",0.999981042672566,0.999981203177484
"isolate.id.OXEC-438",1.00007658258881,1.00013748235494
